goodsid,id,goodsname,groupmanagetypename
18328,3626,穿心莲,中药饮片
74670,3699,紫花地丁,中药饮片
15496,3699,紫花地丁,中药饮片
299477,3699,紫花地丁,中药饮片
126887,3780,绞股蓝,中药饮片
302774,3780,绞股蓝,中药饮片
394012,4183,节节草,中药饮片
50892,4360,蒲公英,中药饮片
74617,4360,蒲公英,中药饮片
14848,4360,蒲公英,中药饮片
299176,4360,蒲公英,中药饮片
74672,4360,蒲公英,中药饮片
90569,4360,蒲公英,中药饮片
18103,4360,蒲公英,中药饮片
74573,4360,蒲公英,中药饮片
98171,4360,蒲公英,中药饮片
89249,4630,败酱草,中药饮片
98150,4630,败酱草,中药饮片
61672,4630,败酱草,中药饮片
16667,4630,败酱草,中药饮片
18577,5233,青蒿,中药饮片
378274,5233,青蒿,中药饮片
77941,5233,青蒿,中药饮片
80781,5233,青蒿,中药饮片
14737,5325,马齿苋,中药饮片
74664,5325,马齿苋,中药饮片
18570,5357,鬼针草,中药饮片
119227,5357,鬼针草,中药饮片
14053,5367,鱼腥草,中药饮片
74675,5367,鱼腥草,中药饮片
16078,5367,鱼腥草,中药饮片
176513,5367,鱼腥草,中药饮片
61723,5367,鱼腥草,中药饮片
16586,5511,龙葵,中药饮片
16026,356,伸筋草,中药饮片
290577,356,伸筋草,中药饮片
74668,356,伸筋草,中药饮片
305082,356,伸筋草,中药饮片
218348,356,伸筋草,中药饮片
50915,356,伸筋草,中药饮片
17713,571,凤仙透骨草,中药饮片
15717,4610,豨莶草,中药饮片
77690,4610,豨莶草,中药饮片
283482,4610,豨莶草,中药饮片
77662,4745,透骨草,中药饮片
301452,4745,透骨草,中药饮片
82768,5405,鹿衔草,中药饮片
16899,5405,鹿衔草,中药饮片
186156,362,佩兰,中药饮片
77661,362,佩兰,中药饮片
18069,362,佩兰,中药饮片
220962,1871,广藿香,中药饮片
194250,1871,广藿香,中药饮片
82166,1871,广藿香,中药饮片
18552,1871,广藿香,中药饮片
74560,1871,广藿香,中药饮片
82294,1871,广藿香,中药饮片
264815,1871,广藿香,中药饮片
291022,1871,广藿香,中药饮片
17581,1099,墨旱莲,中药饮片
267312,1099,墨旱莲,中药饮片
61701,1099,墨旱莲,中药饮片
74667,1099,墨旱莲,中药饮片
101469,1099,墨旱莲,中药饮片
301455,2738,淫羊藿,中药饮片
14764,2738,淫羊藿,中药饮片
18650,2824,灵芝,中药饮片
18646,2824,灵芝,中药饮片
53643,3724,红景天,中药饮片
14663,3724,红景天,中药饮片
323099,3724,红景天,中药饮片
471600,3724,红景天,中药饮片
17754,2197,木贼,中药饮片
17871,2658,浮萍,中药饮片
222881,2658,浮萍,中药饮片
81569,2978,牛至,中药饮片
82515,3702,紫苏梗,中药饮片
392831,3702,紫苏梗,中药饮片
15519,3702,紫苏梗,中药饮片
76694,4267,荆芥,中药饮片
465690,4267,荆芥,中药饮片
17792,4267,荆芥,中药饮片
14542,4267,荆芥,中药饮片
305090,4267,荆芥,中药饮片
17801,4267,荆芥,中药饮片
16989,4376,薄荷,中药饮片
272318,4376,薄荷,中药饮片
302780,4376,薄荷,中药饮片
76395,4376,薄荷,中药饮片
76503,4376,薄荷,中药饮片
76408,4376,薄荷,中药饮片
471636,4376,薄荷,中药饮片
80756,4376,薄荷,中药饮片
17407,4479,蜜麻黄,中药饮片
102048,4479,蜜麻黄,中药饮片
15758,5303,香薷,中药饮片
75025,5303,香薷,中药饮片
330093,5440,麻黄,中药饮片
74829,5440,麻黄,中药饮片
102047,5440,麻黄,中药饮片
428102,5440,麻黄,中药饮片
16926,5440,麻黄,中药饮片
348490,295,人参,食品
439577,4187,芡实,中药饮片
16751,5395,鹿筋,中药饮片
18740,292,人中白,中药饮片
17705,572,凤凰衣,中药饮片
83474,572,凤凰衣,中药饮片
17374,2908,煅瓦楞子,中药饮片
77696,2908,煅瓦楞子,中药饮片
16515,4058,胆南星,中药饮片
267592,4058,胆南星,中药饮片
83486,4457,蛤壳,中药饮片
14607,4457,蛤壳,中药饮片
231559,4463,蜂房,中药饮片
17696,4463,蜂房,中药饮片
372247,3061,珍珠母,中药饮片
88057,3061,珍珠母,中药饮片
14700,427,僵蚕,中药饮片
17441,427,僵蚕,中药饮片
18598,482,全蝎,中药饮片
17021,1081,地龙,中药饮片
80777,1081,地龙,中药饮片
16891,1081,地龙,中药饮片
15976,1361,夜明砂,中药饮片
17519,2848,炒僵蚕,中药饮片
17520,2848,炒僵蚕,中药饮片
76424,3479,石决明,中药饮片
204597,3479,石决明,中药饮片
18851,3479,石决明,中药饮片
305024,4472,蜈蚣,中药饮片
14609,4472,蜈蚣,中药饮片
15645,265,五倍子,中药饮片
404649,265,五倍子,中药饮片
14657,2346,桑螵蛸,中药饮片
18733,2671,海螵蛸,中药饮片
125147,2671,海螵蛸,中药饮片
78501,2671,海螵蛸,中药饮片
172908,2671,海螵蛸,中药饮片
399296,273,五灵脂,中药饮片
14759,273,五灵脂,中药饮片
74682,1053,土鳖虫,中药饮片
15555,1053,土鳖虫,中药饮片
296155,1053,土鳖虫,中药饮片
18888,2515,水蛭,中药饮片
85686,2515,水蛭,中药饮片
280172,2883,炮山甲,中药饮片
67078,2883,炮山甲,中药饮片
64354,2883,炮山甲,中药饮片
40216,2883,炮山甲,中药饮片
17936,2883,炮山甲,中药饮片
342408,2883,炮山甲,中药饮片
14591,2874,炒鸡内金,中药饮片
17509,2874,炒鸡内金,中药饮片
74779,2874,炒鸡内金,中药饮片
299629,2874,炒鸡内金,中药饮片
303350,2874,炒鸡内金,中药饮片
17127,5380,鸡内金,中药饮片
15300,2512,水牛角丝,中药饮片
148237,208,乌梢蛇,中药饮片
15623,208,乌梢蛇,中药饮片
18248,4374,蕲蛇,中药饮片
79323,4437,蚕沙,中药饮片
17006,4438,蚕砂,中药饮片
15488,3695,紫河车,中药饮片
78915,4854,醋鳖甲,中药饮片
18350,4854,醋鳖甲,中药饮片
40204,4854,醋鳖甲,中药饮片
224802,4854,醋鳖甲,中药饮片
301073,4854,醋鳖甲,中药饮片
306722,4855,醋龟甲,中药饮片
18504,4855,醋龟甲,中药饮片
374810,4855,醋龟甲,中药饮片
459336,5369,鱼鳔,中药饮片
14555,4480,蝉蜕,中药饮片
83484,2122,无花果,中药饮片
171774,2122,无花果,中药饮片
15636,2122,无花果,中药饮片
17000,4320,菜豆壳,中药饮片
14685,5382,鸡朎花,中药饮片
17191,539,冬瓜子,中药饮片
305524,1073,地肤子,中药饮片
74780,1073,地肤子,中药饮片
14556,1073,地肤子,中药饮片
18684,1377,大腹皮,中药饮片
77657,1377,大腹皮,中药饮片
15869,3321,盐车前子,中药饮片
15870,3321,盐车前子,中药饮片
80794,3321,盐车前子,中药饮片
18593,4223,苘麻子,中药饮片
74713,4400,薏苡仁,中药饮片
77879,4400,薏苡仁,中药饮片
16054,4400,薏苡仁,中药饮片
295688,4400,薏苡仁,中药饮片
352314,4400,薏苡仁,中药饮片
14474,4400,薏苡仁,中药饮片
180767,4585,覆盆子,中药饮片
40322,4585,覆盆子,中药饮片
17881,4585,覆盆子,中药饮片
18152,4642,赤小豆,中药饮片
18151,4642,赤小豆,中药饮片
321936,4642,赤小豆,中药饮片
80890,4642,赤小豆,中药饮片
450331,4642,赤小豆,中药饮片
291146,4642,赤小豆,中药饮片
14486,4664,路路通,中药饮片
273321,4664,路路通,中药饮片
295299,4664,路路通,中药饮片
74685,4664,路路通,中药饮片
163627,4664,路路通,中药饮片
16377,1376,大皂角,中药饮片
17733,2196,木蝴蝶,中药饮片
77687,2196,木蝴蝶,中药饮片
18277,2378,橘络,中药饮片
343018,2926,燀苦杏仁,中药饮片
73306,2926,燀苦杏仁,中药饮片
17176,2926,燀苦杏仁,中药饮片
316467,2926,燀苦杏仁,中药饮片
324337,2926,燀苦杏仁,中药饮片
78105,3086,瓜蒌,中药饮片
470816,3086,瓜蒌,中药饮片
284628,3086,瓜蒌,中药饮片
75009,3086,瓜蒌,中药饮片
373895,3086,瓜蒌,中药饮片
35227,3086,瓜蒌,中药饮片
18397,3086,瓜蒌,中药饮片
18530,3087,瓜蒌子,中药饮片
75290,3087,瓜蒌子,中药饮片
14899,3209,白果仁,中药饮片
75002,3701,紫苏子,中药饮片
15570,3701,紫苏子,中药饮片
17925,4065,胖大海,中药饮片
76392,4065,胖大海,中药饮片
50461,4065,胖大海,中药饮片
76444,4065,胖大海,中药饮片
75012,4192,芥子,中药饮片
382040,4192,芥子,中药饮片
17480,4192,芥子,中药饮片
176478,4357,葶苈子,中药饮片
15534,4357,葶苈子,中药饮片
18444,5229,青瓜蒌,中药饮片
17076,5309,马兜铃,中药饮片
15967,4441,蛇床子,中药饮片
450566,4441,蛇床子,中药饮片
476612,2282,柏子仁,中药饮片
127487,2282,柏子仁,中药饮片
16661,2282,柏子仁,中药饮片
301991,2282,柏子仁,中药饮片
461155,2872,炒酸枣仁,中药饮片
17826,2872,炒酸枣仁,中药饮片
173047,2872,炒酸枣仁,中药饮片
101467,2872,炒酸枣仁,中药饮片
17827,2872,炒酸枣仁,中药饮片
256347,2868,炒蒺藜,中药饮片
167207,2868,炒蒺藜,中药饮片
461142,2868,炒蒺藜,中药饮片
330897,2868,炒蒺藜,中药饮片
87031,4368,蒺藜,中药饮片
17271,4368,蒺藜,中药饮片
50592,205,乌梅,中药饮片
77710,205,乌梅,中药饮片
15615,205,乌梅,中药饮片
15660,270,五味子,中药饮片
17765,783,南五味子,中药饮片
78598,783,南五味子,中药饮片
82170,783,南五味子,中药饮片
65525,1759,山茱萸,中药饮片
88083,1759,山茱萸,中药饮片
15944,1767,山萸肉,中药饮片
14841,1767,山萸肉,中药饮片
15943,1767,山萸肉,中药饮片
86128,3231,白莲子,中药饮片
76440,3489,石榴皮,中药饮片
14524,3489,石榴皮,中药饮片
18856,3492,石莲子,中药饮片
349742,4188,芡实,中药饮片
77922,4188,芡实,中药饮片
74555,4188,芡实,中药饮片
146187,4188,芡实,中药饮片
18402,4188,芡实,中药饮片
18270,4188,芡实,中药饮片
18274,4188,芡实,中药饮片
14743,4188,芡实,中药饮片
349743,4297,莲子,中药饮片
397258,4297,莲子,中药饮片
146130,4297,莲子,中药饮片
16304,4297,莲子,中药饮片
16391,4297,莲子,中药饮片
14525,4297,莲子,中药饮片
18621,4302,莲房,中药饮片
83476,4590,诃子肉,中药饮片
16231,4590,诃子肉,中药饮片
18659,4833,醋五味子,中药饮片
415393,4901,金樱子肉,中药饮片
74789,4901,金樱子肉,中药饮片
17785,4901,金樱子肉,中药饮片
74666,2817,火麻仁,中药饮片
50335,2817,火麻仁,中药饮片
17108,2817,火麻仁,中药饮片
378271,2817,火麻仁,中药饮片
18266,2998,牵牛子,中药饮片
16145,4782,郁李仁,中药饮片
262696,2858,炒王不留行,中药饮片
17835,2858,炒王不留行,中药饮片
330307,2858,炒王不留行,中药饮片
77672,2858,炒王不留行,中药饮片
357431,2924,燀山桃仁,中药饮片
82122,2925,燀桃仁,中药饮片
17182,2925,燀桃仁,中药饮片
100766,2925,燀桃仁,中药饮片
101466,2925,燀桃仁,中药饮片
233270,2925,燀桃仁,中药饮片
286326,2925,燀桃仁,中药饮片
18157,4265,茺蔚子,中药饮片
291152,564,净山楂,中药饮片
80793,1750,山楂,中药饮片
50528,1750,山楂,中药饮片
61711,1750,山楂,中药饮片
15954,1750,山楂,中药饮片
15952,1750,山楂,中药饮片
17822,2852,炒山楂,中药饮片
17481,2863,炒稻芽,中药饮片
74671,2863,炒稻芽,中药饮片
73304,2863,炒稻芽,中药饮片
186149,2863,炒稻芽,中药饮片
74651,2867,炒莱菔子,中药饮片
17660,2867,炒莱菔子,中药饮片
74609,2867,炒莱菔子,中药饮片
17492,2871,炒谷芽,中药饮片
74769,2875,炒麦芽,中药饮片
40265,2875,炒麦芽,中药饮片
316575,2875,炒麦芽,中药饮片
176516,2875,炒麦芽,中药饮片
17665,2875,炒麦芽,中药饮片
74743,2875,炒麦芽,中药饮片
171410,2875,炒麦芽,中药饮片
461121,2900,焦山楂,中药饮片
17460,2900,焦山楂,中药饮片
17457,2904,焦麦芽,中药饮片
74767,2904,焦麦芽,中药饮片
75615,3622,稻芽,中药饮片
18394,4608,谷芽,中药饮片
194285,5430,麦芽,中药饮片
102427,5430,麦芽,中药饮片
17098,5430,麦芽,中药饮片
74575,5430,麦芽,中药饮片
80784,5430,麦芽,中药饮片
291191,5430,麦芽,中药饮片
164208,5430,麦芽,中药饮片
75015,5430,麦芽,中药饮片
349055,553,决明子,中药饮片
75013,553,决明子,中药饮片
14865,553,决明子,中药饮片
18292,553,决明子,中药饮片
18291,553,决明子,中药饮片
285730,553,决明子,中药饮片
203891,553,决明子,中药饮片
40257,2301,栀子,中药饮片
14580,2301,栀子,中药饮片
199452,2301,栀子,中药饮片
80820,2301,栀子,中药饮片
15181,2301,栀子,中药饮片
82321,2849,炒决明子,中药饮片
291918,2849,炒决明子,中药饮片
267588,2849,炒决明子,中药饮片
82514,2849,炒决明子,中药饮片
101471,2856,炒栀子,中药饮片
17844,2856,炒栀子,中药饮片
74684,2857,炒牛蒡子,中药饮片
17678,2857,炒牛蒡子,中药饮片
17463,2901,焦栀子,中药饮片
14911,3923,罗汉果,中药饮片
215908,4300,莲子心,中药饮片
40226,4300,莲子心,中药饮片
18632,4300,莲子心,中药饮片
285034,4300,莲子心,中药饮片
77685,4300,莲子心,中药饮片
182350,4300,莲子心,中药饮片
18616,4719,连翘,中药饮片
87650,4719,连翘,中药饮片
15845,5390,鸦胆子,中药饮片
76423,495,八角茴香,中药饮片
14834,495,八角茴香,中药饮片
254831,495,八角茴香,中药饮片
322985,495,八角茴香,中药饮片
96658,609,制吴茱萸,中药饮片
90965,609,制吴茱萸,中药饮片
15326,609,制吴茱萸,中药饮片
15637,971,吴茱萸,中药饮片
15771,1716,小茴香,中药饮片
305624,1716,小茴香,中药饮片
176473,1716,小茴香,中药饮片
14905,1716,小茴香,中药饮片
75662,1716,小茴香,中药饮片
74792,4072,胡椒,中药饮片
350761,4072,胡椒,中药饮片
16426,4072,胡椒,中药饮片
74742,4072,胡椒,中药饮片
277147,4072,胡椒,中药饮片
16630,4212,花椒,中药饮片
75600,4212,花椒,中药饮片
153408,4212,花椒,中药饮片
16838,4280,荜茇,中药饮片
160167,361,佛手,中药饮片
80759,361,佛手,中药饮片
82391,361,佛手,中药饮片
17717,361,佛手,中药饮片
15252,616,制陈皮,中药饮片
82341,616,制陈皮,中药饮片
15253,616,制陈皮,中药饮片
286146,644,化橘红,中药饮片
372250,1783,川楝子,中药饮片
18175,1783,川楝子,中药饮片
165429,1783,川楝子,中药饮片
74790,1783,川楝子,中药饮片
15235,2252,枳壳,中药饮片
74477,2253,枳实,中药饮片
15237,2253,枳实,中药饮片
15230,2300,柿蒂,中药饮片
86316,2373,橘红,中药饮片
18149,2373,橘红,中药饮片
17850,2854,炒枳壳,中药饮片
98151,2854,炒枳壳,中药饮片
17856,2855,炒枳实,中药饮片
17348,2873,炒陈皮,中药饮片
80763,2873,炒陈皮,中药饮片
103002,3315,盐橘核,中药饮片
15886,3315,盐橘核,中药饮片
18480,4279,荔枝核,中药饮片
186143,4279,荔枝核,中药饮片
303883,5178,陈皮,中药饮片
77697,5178,陈皮,中药饮片
18010,5178,陈皮,中药饮片
77656,5178,陈皮,中药饮片
292577,5230,青皮,中药饮片
82777,5230,青皮,中药饮片
18584,5230,青皮,中药饮片
16149,5260,预知子,中药饮片
283162,5291,香橼,中药饮片
77691,5291,香橼,中药饮片
15765,5291,香橼,中药饮片
302008,5432,麸炒枳壳,中药饮片
77933,5432,麸炒枳壳,中药饮片
80679,5432,麸炒枳壳,中药饮片
80690,5433,麸炒枳实,中药饮片
302149,5433,麸炒枳实,中药饮片
457284,5433,麸炒枳实,中药饮片
75565,5437,麸炒陈皮,中药饮片
98134,5437,麸炒陈皮,中药饮片
82152,5437,麸炒陈皮,中药饮片
194274,181,丝瓜络,中药饮片
386184,181,丝瓜络,中药饮片
14808,181,丝瓜络,中药饮片
74561,2190,木瓜,中药饮片
17603,2190,木瓜,中药饮片
172770,2190,木瓜,中药饮片
281901,2190,木瓜,中药饮片
16201,3495,砂仁,中药饮片
16200,3495,砂仁,中药饮片
80761,3495,砂仁,中药饮片
77937,3495,砂仁,中药饮片
38452,3741,红豆蔻,中药饮片
18763,4003,肉豆蔻,中药饮片
17145,4273,草果,中药饮片
171288,4274,草果仁,中药饮片
17016,4276,草豆蔻,中药饮片
76419,4609,豆蔻,中药饮片
17202,4609,豆蔻,中药饮片
417698,4609,豆蔻,中药饮片
318586,4609,豆蔻,中药饮片
170952,4609,豆蔻,中药饮片
14624,1369,大枣,中药饮片
16410,1369,大枣,中药饮片
17905,1514,女贞子,中药饮片
80601,1514,女贞子,中药饮片
80757,1514,女贞子,中药饮片
14846,1514,女贞子,中药饮片
18377,2255,枸杞子,中药饮片
18380,2255,枸杞子,中药饮片
50517,2339,桑椹,中药饮片
16470,2339,桑椹,中药饮片
18166,2363,楮实子,中药饮片
171428,2552,沙苑子,中药饮片
82756,2552,沙苑子,中药饮片
16195,2552,沙苑子,中药饮片
74781,2656,浮小麦,中药饮片
17876,2656,浮小麦,中药饮片
449748,2656,浮小麦,中药饮片
82172,2656,浮小麦,中药饮片
61686,2656,浮小麦,中药饮片
79335,2860,炒白扁豆,中药饮片
298188,2860,炒白扁豆,中药饮片
17318,2860,炒白扁豆,中药饮片
373893,2860,炒白扁豆,中药饮片
16004,3288,益智,中药饮片
50639,3288,益智,中药饮片
74791,3318,盐益智,中药饮片
171127,3319,盐益智仁,中药饮片
77692,3320,盐补骨脂,中药饮片
15863,3320,盐补骨脂,中药饮片
82789,4075,胡芦巴,中药饮片
16600,4075,胡芦巴,中药饮片
18423,4282,荞麦,中药饮片
40242,4282,荞麦,中药饮片
450575,4322,菟丝子,中药饮片
75939,4322,菟丝子,中药饮片
80819,4322,菟丝子,中药饮片
15591,4322,菟丝子,中药饮片
16994,4532,补骨脂,中药饮片
98149,4532,补骨脂,中药饮片
50158,4532,补骨脂,中药饮片
87045,4532,补骨脂,中药饮片
77666,4785,酒女贞子,中药饮片
18113,4785,酒女贞子,中药饮片
224071,4785,酒女贞子,中药饮片
90445,4785,酒女贞子,中药饮片
18112,4785,酒女贞子,中药饮片
17811,5257,韭菜子,中药饮片
160188,5257,韭菜子,中药饮片
16284,5477,黑枣,中药饮片
16260,5481,黑豆,中药饮片
360658,2737,淡豆豉,中药饮片
50219,2737,淡豆豉,中药饮片
16520,2737,淡豆豉,中药饮片
332949,2737,淡豆豉,中药饮片
364094,2737,淡豆豉,中药饮片
291916,2865,炒苍耳子,中药饮片
87004,2865,炒苍耳子,中药饮片
17336,2865,炒苍耳子,中药饮片
167130,2869,炒蔓荆子,中药饮片
77671,2869,炒蔓荆子,中药饮片
17672,2869,炒蔓荆子,中药饮片
14861,5232,青葙子,中药饮片
82373,363,使君子,中药饮片
14789,363,使君子,中药饮片
18681,1391,大风子,中药饮片
17554,2364,榧子,中药饮片
164008,2369,槟榔,中药饮片
16977,2369,槟榔,中药饮片
18818,4321,菝葜,中药饮片
15561,1050,土茯苓,中药饮片
76447,1050,土茯苓,中药饮片
14575,1050,土茯苓,中药饮片
40138,1050,土茯苓,中药饮片
15173,2594,泽泻,中药饮片
217828,2594,泽泻,中药饮片
401878,2594,泽泻,中药饮片
15420,3009,猪苓,中药饮片
301956,3009,猪苓,中药饮片
15901,3316,盐泽泻,中药饮片
217835,3316,盐泽泻,中药饮片
102450,3316,盐泽泻,中药饮片
78758,3316,盐泽泻,中药饮片
77889,3316,盐泽泻,中药饮片
186155,3876,绵萆薢,中药饮片
14634,3876,绵萆薢,中药饮片
17429,3876,绵萆薢,中药饮片
382068,3876,绵萆薢,中药饮片
74787,3876,绵萆薢,中药饮片
45320,4253,茯苓,中药饮片
146228,4253,茯苓,中药饮片
14549,4253,茯苓,中药饮片
349740,4253,茯苓,中药饮片
146131,4253,茯苓,中药饮片
17728,4253,茯苓,中药饮片
17727,4253,茯苓,中药饮片
61053,4253,茯苓,中药饮片
17722,4253,茯苓,中药饮片
372805,4253,茯苓,中药饮片
17861,4258,茯苓皮,中药饮片
74654,4258,茯苓皮,中药饮片
383883,4258,茯苓皮,中药饮片
75438,610,制天南星,中药饮片
15319,610,制天南星,中药饮片
18868,613,制白附子,中药饮片
74572,613,制白附子,中药饮片
103250,629,前胡,中药饮片
153369,629,前胡,中药饮片
176929,629,前胡,中药饮片
393408,629,前胡,中药饮片
18268,629,前胡,中药饮片
305088,1557,姜半夏,中药饮片
17282,1557,姜半夏,中药饮片
63571,1557,姜半夏,中药饮片
387690,1557,姜半夏,中药饮片
17281,1557,姜半夏,中药饮片
73643,1557,姜半夏,中药饮片
75440,1557,姜半夏,中药饮片
65314,1557,姜半夏,中药饮片
46586,1557,姜半夏,中药饮片
16018,1642,射干,中药饮片
329155,1642,射干,中药饮片
16019,1642,射干,中药饮片
16215,1771,山麦冬,中药饮片
50526,1771,山麦冬,中药饮片
18168,1795,川贝母,中药饮片
78130,1864,平贝母,中药饮片
81121,1864,平贝母,中药饮片
77878,1864,平贝母,中药饮片
18090,1864,平贝母,中药饮片
86554,1864,平贝母,中药饮片
208792,2347,桔梗,中药饮片
18126,2347,桔梗,中药饮片
18128,2347,桔梗,中药饮片
298192,2347,桔梗,中药饮片
439535,2347,桔梗,中药饮片
77880,2347,桔梗,中药饮片
75603,2561,法半夏,中药饮片
385438,2561,法半夏,中药饮片
151973,2561,法半夏,中药饮片
17526,2561,法半夏,中药饮片
395634,2561,法半夏,中药饮片
46563,2561,法半夏,中药饮片
78883,2561,法半夏,中药饮片
18838,2655,浙贝母,中药饮片
254834,3203,白前,中药饮片
163587,3203,白前,中药饮片
16344,3203,白前,中药饮片
74777,3261,百部,中药饮片
82168,3261,百部,中药饮片
16649,3261,百部,中药饮片
305628,3261,百部,中药饮片
165394,3706,紫菀,中药饮片
15576,3706,紫菀,中药饮片
75030,3706,紫菀,中药饮片
17424,4478,蜜紫菀,中药饮片
166374,4478,蜜紫菀,中药饮片
277177,4478,蜜紫菀,中药饮片
17103,5465,黄药子,中药饮片
15331,615,制远志,中药饮片
15332,615,制远志,中药饮片
17866,4252,茯神,中药饮片
288083,4252,茯神,中药饮片
407830,4252,茯神,中药饮片
98119,4252,茯神,中药饮片
224720,4252,茯神,中药饮片
33263,4707,远志,中药饮片
14860,4707,远志,中药饮片
128367,4707,远志,中药饮片
16158,4707,远志,中药饮片
17806,226,九节菖蒲,中药饮片
74665,3493,石菖蒲,中药饮片
178493,3493,石菖蒲,中药饮片
16109,3493,石菖蒲,中药饮片
164187,3493,石菖蒲,中药饮片
323000,3493,石菖蒲,中药饮片
17911,3691,糯稻根,中药饮片
16931,5441,麻黄根,中药饮片
423035,5441,麻黄根,中药饮片
74680,5441,麻黄根,中药饮片
76438,1063,地榆,中药饮片
