日期,星期,最高温度,最低温度,天气,风向
2013/2/25, 星期一 ,23℃,15℃,多云,微风 小于3级
2013/2/26, 星期二 ,25℃,16℃,多云,微风 小于3级
2013/2/27, 星期三 ,22℃,16℃,阵雨转阴,微风 小于3级
2013/2/28, 星期四 ,22℃,14℃,阴转多云,微风 小于3级
2013/3/1, 星期五 ,26℃,15℃,多云转阴,微风 小于3级
2013/3/2, 星期六 ,19℃,10℃,阵雨,东北风 4-5级
2013/3/3, 星期日 ,17℃,9℃,多云,微风 小于3级
2013/3/4, 星期一 ,19℃,8℃,多云,微风 小于3级
2013/3/5, 星期二 ,20℃,10℃,晴,微风 小于3级
2013/3/6, 星期三 ,23℃,12℃,多云,微风 小于3级
2013/3/7, 星期四 ,24℃,14℃,多云,微风 小于3级
2013/3/8, 星期五 ,26℃,14℃,晴,微风 小于3级
2013/3/9, 星期六 ,27℃,15℃,多云,微风 小于3级
2013/3/10, 星期日 ,27℃,16℃,多云,微风 小于3级
2013/3/11, 星期一 ,21℃,13℃,多云,微风 小于3级
2013/3/12, 星期二 ,23℃,11℃,多云,微风 小于3级
2013/3/13, 星期三 ,27℃,14℃,多云,微风 小于3级
2013/3/14, 星期四 ,21℃,13℃,阵雨转多云,东北风 4-5级~3-4级
2013/3/15, 星期五 ,20℃,11℃,多云,微风 小于3级
2013/3/16, 星期六 ,23℃,13℃,多云,微风 小于3级
2013/3/17, 星期日 ,25℃,13℃,多云,微风 小于3级
2013/3/18, 星期一 ,26℃,17℃,阵雨,微风 小于3级
2013/3/19, 星期二 ,25℃,19℃,阵雨,微风 小于3级
2013/3/20, 星期三 ,29℃,19℃,阵雨转雷阵雨,微风 小于3级
2013/3/21, 星期四 ,19℃,14℃,中雨转阵雨,东北风 4-5级~3-4级
2013/3/22, 星期五 ,26℃,13℃,多云,微风 小于3级
2013/3/23, 星期六 ,27℃,17℃,多云,微风 小于3级
2013/3/24, 星期日 ,27℃,18℃,阵雨转雷阵雨,微风~东北风 小于3级~3-4级
2013/3/25, 星期一 ,20℃,14℃,阵雨转多云,东北风 4-5级~3-4级
2013/3/26, 星期二 ,19℃,13℃,多云转阵雨,微风 小于3级
2013/3/27, 星期三 ,20℃,12℃,中雨转阵雨,微风 小于3级
2013/3/28, 星期四 ,21℃,15℃,阴转阵雨,微风 小于3级
2013/3/29, 星期五 ,17℃,14℃,暴雨转中雨,微风~东北风 小于3级~4-5级
2013/3/30, 星期六 ,18℃,14℃,阴转雷阵雨,东北风~微风 3-4级~小于3级
2013/3/31, 星期日 ,18℃,15℃,中雨转阵雨,微风 小于3级
2013/4/1, 星期一 ,21℃,14℃,阴转阵雨,微风 小于3级
2013/4/2, 星期二 ,21℃,15℃,阴转阵雨,微风 小于3级
2013/4/3, 星期三 ,20℃,16℃,阵雨,微风 小于3级
2013/4/4, 星期四 ,21℃,16℃,中雨转暴雨,微风 小于3级
2013/4/5, 星期五 ,22℃,16℃,大雨转暴雨,微风~西南风 小于3级~3-4级
2013/4/6, 星期六 ,22℃,17℃,暴雨转阵雨,南风~东北风 3-4级
2013/4/7, 星期日 ,18℃,13℃,多云,东北风 3-4级
2013/4/8, 星期一 ,20℃,12℃,多云转阴,微风 小于3级
2013/4/9, 星期二 ,21℃,15℃,阵雨,微风 小于3级
2013/4/10, 星期三 ,18℃,14℃,阵雨转阴,东北风 3-4级
2013/4/11, 星期四 ,21℃,15℃,多云,微风 小于3级
2013/4/12, 星期五 ,19℃,14℃,阵雨,微风 小于3级
2013/4/13, 星期六 ,21℃,14℃,多云,微风 小于3级
2013/4/14, 星期日 ,25℃,15℃,阴,微风 小于3级
2013/4/15, 星期一 ,24℃,15℃,多云,微风 小于3级
2013/4/16, 星期二 ,27℃,16℃,多云,微风 小于3级
2013/4/17, 星期三 ,27℃,19℃,阴转阵雨,微风 小于3级
2013/4/18, 星期四 ,27℃,21℃,阵雨转雷阵雨,微风 小于3级
2013/4/19, 星期五 ,23℃,17℃,阵雨,微风 小于3级
2013/4/20, 星期六 ,24℃,16℃,阵雨,微风 小于3级
2013/4/21, 星期日 ,21℃,16℃,阵雨转多云,微风 小于3级
2013/4/22, 星期一 ,22℃,14℃,阴转多云,东北风~微风 3-4级~小于3级
2013/4/23, 星期二 ,27℃,16℃,多云,微风 小于3级
2013/4/24, 星期三 ,30℃,20℃,多云转阴,微风 小于3级
2013/4/25, 星期四 ,23℃,19℃,中雨,微风 小于3级
2013/4/26, 星期五 ,21℃,17℃,中雨转阵雨,微风 小于3级
2013/4/27, 星期六 ,23℃,17℃,阴转阵雨,微风 小于3级
2013/4/28, 星期日 ,27℃,19℃,阴,微风 小于3级
2013/4/29, 星期一 ,28℃,19℃,阴,微风 小于3级
2013/4/30, 星期二 ,28℃,18℃,阵雨转中雨,微风 小于3级
2013/5/1, 星期三 ,23℃,18℃,暴雨转阵雨,东北风 3-4级
2013/5/2, 星期四 ,24℃,14℃,多云,微风 小于3级
2013/5/3, 星期五 ,24℃,17℃,多云,微风 小于3级
2013/5/4, 星期六 ,25℃,18℃,多云,微风 小于3级
2013/5/5, 星期日 ,26℃,19℃,阵雨转阴,微风 小于3级
2013/5/6, 星期一 ,24℃,19℃,阵雨,微风 小于3级
2013/5/7, 星期二 ,27℃,21℃,多云转阵雨,微风 小于3级
2013/5/8, 星期三 ,28℃,21℃,多云转阵雨,微风 小于3级
2013/5/9, 星期四 ,27℃,22℃,阵雨转中雨,微风 小于3级
2013/5/10, 星期五 ,29℃,22℃,中雨,微风 小于3级
2013/5/11, 星期六 ,25℃,22℃,大雨,微风 小于3级
2013/5/12, 星期日 ,25℃,19℃,阵雨,微风 小于3级
2013/5/13, 星期一 ,25℃,20℃,阵雨转阴,微风 小于3级
2013/5/14, 星期二 ,29℃,22℃,阴转多云,微风 小于3级
2013/5/15, 星期三 ,28℃,22℃,阵雨,微风 小于3级
2013/5/16, 星期四 ,28℃,23℃,中雨转暴雨,微风 小于3级
2013/5/17, 星期五 ,29℃,24℃,中雨转阵雨,微风 小于3级
2013/5/18, 星期六 ,29℃,24℃,多云转阵雨,微风 小于3级
2013/5/19, 星期日 ,29℃,25℃,阴转雷阵雨,微风 小于3级
2013/5/20, 星期一 ,27℃,24℃,大雨转暴雨,微风 小于3级
2013/5/21, 星期二 ,29℃,23℃,暴雨,微风 小于3级
2013/5/22, 星期三 ,27℃,21℃,暴雨,微风 小于3级
2013/5/23, 星期四 ,29℃,23℃,阵雨转多云,微风 小于3级
2013/5/24, 星期五 ,30℃,23℃,多云,微风 小于3级
2013/5/25, 星期六 ,29℃,23℃,多云,微风 小于3级
2013/5/26, 星期日 ,28℃,23℃,阴转阵雨,微风 小于3级
2013/5/27, 星期一 ,29℃,23℃,中雨,微风 小于3级
2013/5/28, 星期二 ,31℃,24℃,阵雨转阴,微风 小于3级
2013/5/29, 星期三 ,32℃,25℃,多云,微风 小于3级
2013/5/30, 星期四 ,34℃,25℃,多云,微风 小于3级
2013/5/31, 星期五 ,33℃,25℃,多云,微风 小于3级
2013/6/1, 星期六 ,34℃,25℃,多云,微风 小于3级
2013/6/2, 星期日 ,32℃,25℃,多云,微风 小于3级
2013/6/3, 星期一 ,28℃,23℃,中雨转阵雨,微风 小于3级
2013/6/4, 星期二 ,27℃,23℃,阵雨,微风 小于3级
2013/6/5, 星期三 ,27℃,23℃,阵雨,微风 小于3级
2013/6/6, 星期四 ,31℃,24℃,阴,微风 小于3级
2013/6/7, 星期五 ,31℃,24℃,阴转雷阵雨,微风 小于3级
2013/6/8, 星期六 ,32℃,25℃,阵雨,微风 小于3级
2013/6/9, 星期日 ,33℃,25℃,多云转阵雨,微风 小于3级
2013/6/10, 星期一 ,29℃,25℃,阵雨转中雨,微风 小于3级
2013/6/11, 星期二 ,27℃,23℃,暴雨转大雨,微风 小于3级
2013/6/12, 星期三 ,26℃,22℃,阵雨转中雨,微风 小于3级
2013/6/13, 星期四 ,26℃,22℃,中雨转雷阵雨,微风 小于3级
2013/6/14, 星期五 ,28℃,23℃,中雨,微风 小于3级
2013/6/15, 星期六 ,28℃,23℃,暴雨转大雨,微风 小于3级
2013/6/16, 星期日 ,29℃,25℃,多云,微风 小于3级
2013/6/17, 星期一 ,33℃,25℃,多云,微风 小于3级
2013/6/18, 星期二 ,33℃,25℃,多云,微风 小于3级
2013/6/19, 星期三 ,33℃,26℃,多云,微风 小于3级
2013/6/20, 星期四 ,33℃,26℃,多云,微风 小于3级
2013/6/21, 星期五 ,32℃,26℃,多云转阵雨,微风 小于3级
2013/6/22, 星期六 ,29℃,26℃,中雨,微风 小于3级
2013/6/23, 星期日 ,32℃,26℃,阴转多云,微风 小于3级
2013/6/24, 星期一 ,31℃,26℃,阵雨,微风 小于3级
2013/6/25, 星期二 ,30℃,25℃,中雨,微风 小于3级
2013/6/26, 星期三 ,32℃,25℃,阵雨转多云,微风 小于3级
2013/6/27, 星期四 ,33℃,26℃,多云,微风 小于3级
2013/6/28, 星期五 ,33℃,26℃,多云,微风 小于3级
2013/6/29, 星期六 ,33℃,26℃,多云,微风 小于3级
2013/6/30, 星期日 ,34℃,26℃,多云,微风 小于3级
2013/7/1, 星期一 ,32℃,26℃,多云转阵雨,微风 小于3级
2013/7/2, 星期二 ,33℃,25℃,多云,微风 小于3级
2013/7/3, 星期三 ,33℃,26℃,多云,微风 小于3级
2013/7/4, 星期四 ,33℃,26℃,多云,微风 小于3级
2013/7/5, 星期五 ,33℃,26℃,多云,微风 小于3级
2013/7/6, 星期六 ,32℃,26℃,多云,微风 小于3级
2013/7/7, 星期日 ,32℃,26℃,多云,微风 小于3级
2013/7/8, 星期一 ,32℃,26℃,多云,微风 小于3级
2013/7/9, 星期二 ,32℃,25℃,多云,微风 小于3级
2013/7/10, 星期三 ,32℃,26℃,多云,微风 小于3级
2013/7/11, 星期四 ,34℃,26℃,多云,微风 小于3级
2013/7/12, 星期五 ,36℃,26℃,多云,北风 3-4级
2013/7/13, 星期六 ,30℃,26℃,多云转暴雨,北风~南风 4-5级
2013/7/14, 星期日 ,30℃,24℃,暴雨转阵雨,南风 3-4级
2013/7/15, 星期一 ,30℃,25℃,阵雨,微风 小于3级
2013/7/16, 星期二 ,29℃,25℃,中雨,微风 小于3级
2013/7/17, 星期三 ,29℃,25℃,阵雨,微风 小于3级
2013/7/18, 星期四 ,29℃,24℃,阵雨转暴雨,微风~东风 小于3级~3-4级
2013/7/19, 星期五 ,28℃,24℃,暴雨,东南风~南风 4-5级
2013/7/20, 星期六 ,29℃,23℃,中雨转雷阵雨,微风 小于3级
2013/7/21, 星期日 ,31℃,25℃,多云,微风 小于3级
2013/7/22, 星期一 ,33℃,25℃,多云,微风 小于3级
2013/7/23, 星期二 ,33℃,25℃,多云,微风 小于3级
2013/7/24, 星期三 ,33℃,25℃,多云,微风 小于3级
2013/7/25, 星期四 ,31℃,26℃,多云转阵雨,微风 小于3级
2013/7/26, 星期五 ,30℃,25℃,阵雨,微风 小于3级
2013/7/27, 星期六 ,31℃,25℃,阵雨转多云,微风 小于3级
2013/7/28, 星期日 ,31℃,25℃,阵雨,微风 小于3级
2013/7/29, 星期一 ,33℃,25℃,多云,微风 小于3级
2013/7/30, 星期二 ,34℃,26℃,多云,微风 小于3级
2013/7/31, 星期三 ,33℃,26℃,多云,微风 小于3级
2013/8/1, 星期四 ,33℃,26℃,多云,微风 小于3级
2013/8/2, 星期五 ,30℃,25℃,中雨转暴雨,微风 小于3级
2013/8/3, 星期六 ,30℃,24℃,中雨转阵雨,南风~微风 3-4级~小于3级
2013/8/4, 星期日 ,33℃,25℃,多云,微风 小于3级
2013/8/5, 星期一 ,34℃,26℃,多云,微风 小于3级
2013/8/6, 星期二 ,34℃,26℃,多云,微风 小于3级
2013/8/7, 星期三 ,34℃,26℃,多云,微风 小于3级
2013/8/8, 星期四 ,35℃,26℃,多云,微风 小于3级
2013/8/9, 星期五 ,36℃,26℃,多云,微风 小于3级
2013/8/10, 星期六 ,33℃,27℃,多云,微风 小于3级
2013/8/11, 星期日 ,34℃,26℃,多云,微风 小于3级
2013/8/12, 星期一 ,35℃,26℃,多云,微风 小于3级
2013/8/13, 星期二 ,32℃,26℃,多云转阵雨,微风 小于3级
2013/8/14, 星期三 ,28℃,25℃,大雨转暴雨,南风 3-4级
2013/8/15, 星期四 ,29℃,23℃,大雨转中雨,微风 小于3级
2013/8/16, 星期五 ,29℃,25℃,阵雨转中雨,微风 小于3级
2013/8/17, 星期六 ,31℃,25℃,阴,微风 小于3级
2013/8/18, 星期日 ,32℃,25℃,多云,微风 小于3级
2013/8/19, 星期一 ,33℃,26℃,多云,微风 小于3级
2013/8/20, 星期二 ,32℃,26℃,多云,微风 小于3级
2013/8/21, 星期三 ,32℃,26℃,阵雨,微风~北风 小于3级~3-4级
2013/8/22, 星期四 ,29℃,24℃,暴雨,西南风 4-5级
2013/8/23, 星期五 ,29℃,25℃,大雨转中雨,微风 小于3级
2013/8/24, 星期六 ,30℃,25℃,大雨转中雨,微风 小于3级
2013/8/25, 星期日 ,32℃,26℃,多云,微风 小于3级
2013/8/26, 星期一 ,33℃,26℃,多云,微风 小于3级
2013/8/27, 星期二 ,33℃,26℃,多云,微风 小于3级
2013/8/28, 星期三 ,33℃,26℃,多云,微风 小于3级
2013/8/29, 星期四 ,33℃,26℃,多云,微风 小于3级
2013/8/30, 星期五 ,28℃,25℃,阵雨转中雨,南风 3-4级
2013/8/31, 星期六 ,27℃,24℃,大雨,微风 小于3级
2013/9/1, 星期日 ,29℃,24℃,阴,微风 小于3级
2013/9/2, 星期一 ,30℃,24℃,多云,微风 小于3级
2013/9/3, 星期二 ,29℃,23℃,多云,微风 小于3级
2013/9/4, 星期三 ,29℃,24℃,多云,微风 小于3级
2013/9/5, 星期四 ,30℃,24℃,多云,微风 小于3级
2013/9/6, 星期五 ,30℃,23℃,多云,微风 小于3级
2013/9/7, 星期六 ,31℃,24℃,多云,微风 小于3级
2013/9/8, 星期日 ,32℃,24℃,多云,微风 小于3级
2013/9/9, 星期一 ,32℃,25℃,多云,微风 小于3级
2013/9/10, 星期二 ,32℃,25℃,多云,微风 小于3级
2013/9/11, 星期三 ,32℃,25℃,多云,微风 小于3级
2013/9/12, 星期四 ,32℃,25℃,多云,微风 小于3级
2013/9/13, 星期五 ,31℃,25℃,多云转阵雨,微风 小于3级
2013/9/14, 星期六 ,30℃,24℃,雷阵雨转阵雨,微风 小于3级
2013/9/15, 星期日 ,32℃,25℃,阴转多云,微风 小于3级
2013/9/16, 星期一 ,32℃,25℃,多云,微风 小于3级
2013/9/17, 星期二 ,31℃,23℃,多云,微风~东北风 小于3级~3-4级
2013/9/18, 星期三 ,30℃,24℃,多云,微风 小于3级
2013/9/19, 星期四 ,33℃,26℃,多云,东北风 3-4级
2013/9/20, 星期五 ,33℃,26℃,多云,东北风 4-5级
2013/9/21, 星期六 ,33℃,26℃,多云转阵雨,东北风 5-6级~7-8级
2013/9/22, 星期日 ,27℃,24℃,大雨转暴雨,东北风~东南风 7-8级
2013/9/23, 星期一 ,27℃,24℃,暴雨转大雨,东南风 5-6级~3-4级
2013/9/24, 星期二 ,31℃,25℃,阴转多云,微风 小于3级
2013/9/25, 星期三 ,31℃,25℃,多云,微风 小于3级
2013/9/26, 星期四 ,28℃,23℃,多云,东北风 3-4级
2013/9/27, 星期五 ,29℃,22℃,多云,东北风~微风 3-4级~小于3级
2013/9/28, 星期六 ,30℃,22℃,多云,微风 小于3级
2013/9/29, 星期日 ,29℃,23℃,多云,微风~东北风 小于3级~3-4级
2013/9/30, 星期一 ,30℃,24℃,多云,东北风 3-4级
2013/10/1, 星期二 ,31℃,24℃,多云,东北风 3-4级
2013/10/2, 星期三 ,30℃,23℃,多云,微风 小于3级
2013/10/3, 星期四 ,28℃,21℃,多云,东北风 3-4级
2013/10/4, 星期五 ,28℃,20℃,多云,东北风 3-4级
2013/10/5, 星期六 ,29℃,19℃,多云,北风 3-4级
2013/10/6, 星期日 ,32℃,23℃,多云转阴,微风~西风 小于3级~3-4级
2013/10/7, 星期一 ,32℃,24℃,多云,东北风 3-4级
2013/10/8, 星期二 ,29℃,24℃,阵雨,微风 小于3级
2013/10/9, 星期三 ,29℃,23℃,阵雨转阴,微风 小于3级
2013/10/10, 星期四 ,31℃,23℃,阴转多云,微风 小于3级
2013/10/11, 星期五 ,31℃,23℃,多云,微风 小于3级
2013/10/12, 星期六 ,30℃,24℃,多云,东北风 4-5级
2013/10/13, 星期六 ,30℃,22℃,多云,东北风 4-5级
2013/10/14, 星期一 ,30℃,22℃,多云,东北风 4-5级
2013/10/15, 星期二 ,30℃,22℃,多云,东北风 4-5级
2013/10/16, 星期三 ,26℃,19℃,多云,东北风 3-4级
2013/10/17, 星期四 ,26℃,17℃,多云,东北风 3-4级
2013/10/18, 星期五 ,28℃,19℃,多云,东北风 3-4级
2013/10/19, 星期六 ,28℃,20℃,多云,微风 小于3级
2013/10/20, 星期日 ,28℃,20℃,多云,微风 小于3级
2013/10/21, 星期一 ,28℃,21℃,多云,微风 小于3级
2013/10/22, 星期二 ,28℃,19℃,多云,微风 小于3级
2013/10/23, 星期三 ,27℃,18℃,多云,微风 小于3级
2013/10/24, 星期四 ,27℃,18℃,多云,微风 小于3级
2013/10/25, 星期五 ,25℃,17℃,多云,微风 小于3级
2013/10/26, 星期六 ,24℃,16℃,多云,东北风 3-4级
2013/10/27, 星期日 ,24℃,15℃,多云,东北风~微风 3-4级~小于3级
2013/10/28, 星期一 ,25℃,17℃,多云,微风 小于3级
2013/10/29, 星期二 ,26℃,17℃,多云,微风 小于3级
2013/10/30, 星期三 ,27℃,18℃,多云,微风 小于3级
2013/10/31, 星期四 ,28℃,20℃,多云,微风~东北风 小于3级~3-4级
2013/11/1, 星期五 ,27℃,21℃,多云转阴,东北风 3-4级~4-5级
2013/11/2, 星期六 ,26℃,21℃,阴转阵雨,东北风 4-5级~3-4级
2013/11/3, 星期日 ,25℃,21℃,阵雨,微风 小于3级
2013/11/4, 星期一 ,24℃,20℃,阵雨,东北风 3-4级
2013/11/5, 星期二 ,25℃,18℃,阴,微风 小于3级
2013/11/6, 星期三 ,26℃,19℃,多云,微风 小于3级
2013/11/7, 星期四 ,27℃,19℃,多云,微风~东北风 小于3级~3-4级
2013/11/8, 星期五 ,28℃,19℃,多云,东北风~微风 3-4级~小于3级
2013/11/9, 星期六 ,28℃,19℃,多云,微风 小于3级
2013/11/10, 星期日 ,29℃,21℃,多云,微风 小于3级
2013/11/11, 星期一 ,23℃,20℃,阵雨,微风 小于3级
2013/11/12, 星期二 ,21℃,18℃,阴转小雨,东北风 3-4级
2013/11/13, 星期三 ,20℃,17℃,阵雨,东北风 3-4级
2013/11/14, 星期四 ,24℃,17℃,阴转多云,微风 小于3级
2013/11/15, 星期五 ,25℃,18℃,多云,微风 小于3级
2013/11/16, 星期六 ,24℃,17℃,多云,微风 小于3级
2013/11/17, 星期日 ,23℃,16℃,多云,微风 小于3级
2013/11/18, 星期一 ,23℃,14℃,多云,微风 小于3级
2013/11/19, 星期二 ,21℃,13℃,多云,微风 小于3级
2013/11/20, 星期三 ,22℃,13℃,多云,微风 小于3级
2013/11/21, 星期四 ,23℃,15℃,多云,微风 小于3级
2013/11/22, 星期五 ,24℃,15℃,多云,微风 小于3级
2013/11/23, 星期六 ,25℃,17℃,多云,微风 小于3级
2013/11/24, 星期日 ,23℃,18℃,阴转中雨,微风 小于3级
2013/11/25, 星期一 ,21℃,15℃,阵雨转多云,微风~东北风 小于3级~3-4级
2013/11/26, 星期二 ,22℃,13℃,多云,东北风 3-4级
2013/11/27, 星期三 ,22℃,13℃,多云,微风 小于3级
2013/11/28, 星期四 ,18℃,12℃,阴转多云,东北风 3-4级
2013/11/29, 星期五 ,17℃,9℃,晴,微风 小于3级
2013/11/30, 星期六 ,18℃,8℃,晴,东北风~微风 3-4级~小于3级
2013/12/1, 星期日 ,20℃,9℃,多云,微风 小于3级
2013/12/2, 星期一 ,22℃,10℃,晴,微风 小于3级
2013/12/3, 星期二 ,22℃,11℃,晴,微风 小于3级
2013/12/4, 星期三 ,22℃,11℃,多云,微风 小于3级
2013/12/5, 星期四 ,21℃,12℃,晴转多云,微风 小于3级
2013/12/6, 星期五 ,21℃,13℃,多云,微风 小于3级
2013/12/7, 星期六 ,22℃,14℃,多云,微风 小于3级
2013/12/8, 星期日 ,22℃,15℃,多云,微风 小于3级
2013/12/9, 星期一 ,23℃,15℃,阵雨转阴,微风 小于3级
2013/12/10, 星期二 ,20℃,15℃,多云,微风 小于3级
2013/12/11, 星期三 ,20℃,12℃,多云,东北风 3-4级
2013/12/12, 星期四 ,18℃,13℃,阴转多云,东北风~微风 3-4级~小于3级
2013/12/13, 星期五 ,20℃,13℃,阴,微风 小于3级
2013/12/14, 星期六 ,20℃,14℃,阴转阵雨,东北风 3-4级
2013/12/15, 星期日 ,16℃,14℃,中雨转大雨,东北风 3-4级
2013/12/16, 星期一 ,15℃,13℃,大雨,东北风 3-4级
2013/12/17, 星期二 ,14℃,12℃,大雨转中雨,微风 小于3级
2013/12/18, 星期三 ,15℃,10℃,阵雨转多云,微风 小于3级
2013/12/19, 星期四 ,15℃,7℃,多云转晴,微风 小于3级
2013/12/20, 星期五 ,15℃,7℃,晴,东北风 3-4级
2013/12/21, 星期六 ,15℃,7℃,多云,东北风 3-4级
2013/12/22, 星期日 ,15℃,8℃,多云,东北风 3-4级
2013/12/23, 星期一 ,16℃,8℃,多云,微风 小于3级
2013/12/24, 星期二 ,16℃,11℃,多云转阴,微风~东北风 小于3级~3-4级
2013/12/25, 星期三 ,17℃,11℃,阴转多云,东北风~微风 3-4级~小于3级
2013/12/26, 星期四 ,18℃,11℃,多云,微风 小于3级
2013/12/27, 星期五 ,14℃,9℃,多云转晴,东北风 3-4级
2013/12/28, 星期六 ,14℃,6℃,晴,东北风 3-4级
2013/12/29, 星期日 ,14℃,6℃,晴,东北风 3-4级
2013/12/30, 星期一 ,15℃,7℃,多云,微风 小于3级
2013/12/31, 星期二 ,17℃,7℃,多云,微风 小于3级
2014/1/1, 星期三 ,19℃,9℃,多云,微风 小于3级
2014/1/2, 星期四 ,19℃,9℃,阴,微风 小于3级
2014/1/3, 星期五 ,18℃,13℃,阵雨,微风 小于3级
2014/1/4, 星期六 ,19℃,13℃,多云转晴,微风 小于3级
2014/1/5, 星期日 ,17℃,10℃,晴,微风~东北风 小于3级~3-4级
2014/1/6, 星期一 ,18℃,9℃,多云,微风 小于3级
2014/1/7, 星期二 ,21℃,12℃,多云,微风 小于3级
2014/1/8, 星期三 ,24℃,15℃,多云,微风 小于3级
2014/1/9, 星期四 ,17℃,11℃,阴转多云,东北风 3-4级
2014/1/10, 星期五 ,15℃,8℃,多云,东北风 3-4级
2014/1/11, 星期六 ,16℃,9℃,多云,微风 小于3级
2014/1/12, 星期日 ,18℃,11℃,多云,微风 小于3级
2014/1/13, 星期一 ,16℃,11℃,多云转阴,东北风 3-4级
2014/1/14, 星期二 ,16℃,10℃,多云,东北风 3-4级~4-5级
2014/1/15, 星期三 ,15℃,7℃,多云,东北风 3-4级
2014/1/16, 星期四 ,16℃,7℃,多云转晴,东北风~微风 3-4级~小于3级
2014/1/17, 星期五 ,19℃,9℃,多云,微风 小于3级
2014/1/18, 星期六 ,17℃,9℃,多云,微风~东北风 小于3级~3-4级
2014/1/19, 星期日 ,16℃,8℃,多云,东北风~微风 3-4级~小于3级
2014/1/20, 星期一 ,19℃,7℃,多云,微风 小于3级
2014/1/21, 星期二 ,19℃,8℃,多云,微风 小于3级
2014/1/22, 星期三 ,14℃,6℃,多云,东北风 3-4级
2014/1/23, 星期四 ,15℃,5℃,多云,微风 小于3级
2014/1/24, 星期五 ,19℃,7℃,多云,微风 小于3级
2014/1/25, 星期六 ,21℃,11℃,多云,微风 小于3级
2014/1/26, 星期日 ,17℃,12℃,多云转阴,微风~东北风 小于3级~3-4级
